id,name,host_id,host_name,zip_code,neighborhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
l_572435801484512640,Orange Blossom | Asheville Villa with Hot Tub,h_96187307,Yonder,28804,South Asheville,35.6417298,-82.573983,Entire home/apt,164,1,27,2025-04-07,0.76,50,343,3
l_572435816142415488,Shady Grove | Asheville Villa with Hot Tub,h_96187307,Yonder,28804,South Asheville,35.6417298,-82.573983,Entire home/apt,147,1,20,2024-11-03,0.57,50,345,2
l_572435835067697344,Southbound | Asheville Villa with Hot Tub,h_96187307,Yonder,28804,South Asheville,35.6417298,-82.573983,Entire home/apt,141,1,19,2024-07-07,0.54,50,352,1
l_572435867063700992,Modern Retreat Near Downtown with Hot Tub,h_96187307,Yonder,28804,South Asheville,35.6417298,-82.573983,Entire home/apt,161,1,23,2025-03-15,0.69,50,331,7
l_572435879484786304,Weeping Willow | Near Downtown Asheville | Hot Tub,h_96187307,Yonder,28804,South Asheville,35.6417298,-82.573983,Entire home/apt,150,1,25,2025-04-14,0.74,50,354,11
l_572435903541837376,Pet-friendly 4BR Home | Asheville | Hot Tub,h_96187307,Yonder,28804,South Asheville,35.6417298,-82.573983,Entire home/apt,146,1,47,2025-05-29,1.39,50,342,14
l_573082159149089408,Mountain View’s Near Sierra Nevada Brewing,h_118878640,Crystal,28704,South Asheville,35.44177,-82.57204,Entire home/apt,232,3,16,2025-04-30,0.41,2,162,4
l_573392220758899520,DT Asheville - Zurich MNT Chalet #9A/Low Cost Uber,h_447434330,Ed And Marwa,28805,East Asheville,35.593239,-82.537369,Entire home/apt,127,1,58,2025-06-08,1.5,3,338,11
l_573788729255175808,"Asheville Mountain Home 5 BDRM Dog Frndly, Hot Tub",h_447556763,Lois,28803,Tuxedo Park,35.4958,-82.49783,Entire home/apt,475,2,44,2024-12-29,1.12,1,321,5
l_574570250363828544,"Big Oaks
Cozy 2-bedroom home in West Asheville",h_38154145,Tasha,28806,West Asheville,35.57765,-82.60735,Entire home/apt,100,30,7,2024-07-01,0.19,1,294,1
l_575371354475994368,"Cozy Studio, walking distance to downtown",h_189552329,Audrie,28801,Downtown Asheville,35.58574,-82.55649,Entire home/apt,100,1,486,2025-06-14,12.31,1,314,135
l_575374602222225792,"Quaint, Pet Friendly & 10Min to Downtown Asheville",h_216854469,Lyle,28806,West Asheville,35.60345,-82.61048,Entire home/apt,109,1,219,2025-06-02,5.57,2,305,66
l_577481538891576448,"“Lady's House"" - cheerful 3 bedroom home",h_243322369,Nicole,28704,South Asheville,35.48508,-82.58173,Entire home/apt,173,3,57,2025-06-04,1.46,1,117,10
l_577571570724983296,Quiet West AVL suite with city & mountain views,h_15425062,Micah,28806,West Asheville,35.58164,-82.57734,Entire home/apt,70,1,144,2025-06-10,4.43,1,310,58
l_577703974478980352,"Suite in contemporary home, near UNCA & downtown.",h_448498461,Erica,28804,South Asheville,35.61635,-82.56285,Entire home/apt,113,2,71,2025-05-25,1.81,1,198,9
l_578485700530755712,Walking Distance To Charming Downtown Asheville,h_191353907,Talia,28801,Downtown Asheville,35.60278,-82.55918,Entire home/apt,350,29,34,2025-05-26,0.91,1,308,11
l_578762733048842880,DT Asheville - Zurich MNT Chalet #9B/Low Cost Uber,h_447434330,Ed And Marwa,28805,East Asheville,35.59383,-82.537659,Entire home/apt,180,1,30,2024-09-06,0.79,3,167,1
l_578957859472340608,"West AVL Gem: Dining, Breweries & Outdoors",h_104531383,Emma Kate,28806,West Asheville,35.586483001708984,-82.574798583984375,Entire home/apt,,2,69,2024-11-17,1.89,1,0,10
l_579654615388568960,Cozy 3 bedroom home near Downtown Asheville,h_75017005,Sarah,28805,East Asheville,35.62008,-82.47647,Entire home/apt,,3,38,2024-09-30,0.99,1,0,7
